Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Golden State Warriors,Brandin Podziemski,NA,G,20,"6' 4""",203 lbs,Santa Clara,"$3,352,440"
Golden State Warriors,Lester Quinones,25,G,22,"6' 5""",205 lbs,Memphis,--
Golden State Warriors,Dario Saric,9,PF,29,"6' 10""",225 lbs,--,"$2,019,706"
Golden State Warriors,Klay Thompson,11,SG,33,"6' 6""",220 lbs,Washington State,"$43,219,440"
Golden State Warriors,Andrew Wiggins,22,SF,28,"6' 7""",197 lbs,Kansas,"$24,330,357"
Houston Rockets,D.J. Augustin,4,G,35,"5' 11""",183 lbs,Texas,--
Houston Rockets,Dillon Brooks,NA,SF,27,"6' 7""",225 lbs,Oregon,"$22,627,671"
Houston Rockets,Willie Cauley-Stein,2,C,30,"7' 0""",240 lbs,Kentucky,--
Houston Rockets,Darius Days,5,F,23,"6' 7""",245 lbs,LSU,--
Houston Rockets,Tari Eason,17,F,22,"6' 8""",215 lbs,LSU,"$3,527,160"
Houston Rockets,Jalen Green,4,SG,21,"6' 4""",186 lbs,--,"$9,891,480"
Houston Rockets,Jeff Green,32,PF,37,"6' 8""",235 lbs,Georgetown,"$9,600,000"
Houston Rockets,Aaron Holiday,NA,G,26,"6' 0""",185 lbs,UCLA,"$2,019,706"
Houston Rockets,Trevor Hudgins,12,G,24,"6' 0""",180 lbs,Northwest Missouri State,--
Houston Rockets,Frank Kaminsky,33,PF,30,"7' 0""",240 lbs,Wisconsin,--
Houston Rockets,Jock Landale,NA,C,27,"6' 11""",255 lbs,Saint Mary's,"$8,000,000"
Houston Rockets,Boban Marjanovic,51,C,35,"7' 4""",290 lbs,--,"$2,019,706"
Houston Rockets,Kevin Porter Jr.,3,SG,23,"6' 4""",203 lbs,USC,"$15,860,000"
Houston Rockets,Alperen Sengun,28,C,21,"6' 11""",243 lbs,--,"$3,536,280"
Houston Rockets,Jabari Smith Jr.,1,PF,20,"6' 11""",220 lbs,Auburn,"$9,326,520"
Houston Rockets,Jae'Sean Tate,8,SF,27,"6' 5""",230 lbs,Ohio State,"$6,500,000"
Houston Rockets,Amen Thompson,NA,F,20,"6' 7""",214 lbs,--,"$8,809,320"
Houston Rockets,Fred VanVleet,NA,SG,29,"6' 0""",197 lbs,Wichita State,"$40,806,300"
Houston Rockets,Cam Whitmore,NA,F,19,"6' 7""",232 lbs,Villanova,"$3,218,160"
Indiana Pacers,Bruce Brown,NA,SF,27,"6' 4""",202 lbs,Miami,"$22,000,000"
Indiana Pacers,Kendall Brown,10,SG,20,"6' 8""",205 lbs,Baylor,--
Indiana Pacers,Tyrese Haliburton,0,PG,23,"6' 5""",185 lbs,Iowa State,"$5,808,435"
